A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.778,1.19,3.175,9.557,3.968,1.587,5.556,29.804,9.532,14.335,6.758,22.448,3.659,1.636,3.199,5.219,3.593,1.636,1.587,3.199,9.23,7.187,1.587,2.778,3.199,48.9,10.325,7.55,1.587,3.571,1.587,18.689,1.587,1.587,10.348,51.685,27.089,1.984,8.343,8.739,1.19,31.077,1.19,21.462,2.381,27.453,1.587,16.313,2.778,2.381,3.968,78.8,1.587,4.778,3.593,25.154,10.744,32.735,1.587,7.55,11.515,39.384,1.19,110.521,3.175,66.6,7.55,206.8,1.984,36.25,2.381,59.212,6.399,24.807,9.992,26.382,5.966,29.581,7.241,2.806,2.381,53.158,2.381,6.793,4.383,54.905,9.952,25.903,1.19,10.744,2.381,35.855,1.587,4.365,4.762,46.202,13.498,5.57,4.762,203.3,3.175,127.184,2.381,40.6,1.587,11.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.365,2.381,7.154,13.912,26.614,1.587,3.571,5.159,9.532,2.778,7.55,7.154,11.535,7.154,17.875,3.175,11.139,3.571,27.031,2.778,60.401,1.984,59.3,1.587,81.117,8.73,47.645,1.19,2.778,3.968,10.325,3.968,2.778,1.587,3.968,1.19,40.89,1.19,5.556,15.7,16.686,1.984,30.579,8.343,6.758,7.54,5.159,5.159,3.571,3.571,5.556,4.762,2.778,8.739,21.032,7.946,1.587,1.587,19.052,1.587,12.705,5.159,10.714,15.481,3.175,1.19,40.89,1.587,55.578,3.968,100.492,1.587,3.571,1.984,2.381,7.946,25.4,5.57,14.704,13.101,1.984,1.587,16.667,1.587,114,1.984,3.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15.3,6.746,8.333,2.381,9.127,21.432,3.175,7.143,2.381,11.111,1.19,5.952,1.19,85.326,4.365,7.143,7.143,5.159,7.143,29.762,7.54,1.984,3.175,1.587,9.524,3.968,11.111,36.12,1.19,3.175,2.381,30.952,5.159,4.762,5.159,21.035,4.365,31.359,1.19,77.034,9.127,5.556,1.984,25.806,1.984,17.875,5.556,2.778,1.19,9.127,5.952,22.623,1.587,26.202,7.143,31.749,6.349,111.1,5.952,4.762,13.889,2.381,6.349,8.73,6.349,67.868,6.746,7.143,9.127,63.9,9.921,72.2,1.587,8.333,1.984,34.129,8.333,20.242,5.159,6.746,1.587,4.762,4.762,11.905,1.19,6.349,3.571,28.2,2.778,60.319,8.333,7.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6.057,73.2,9.136,5.57,2.381,57.341,17.478,10.325,1.19,40.967,1.19,1.19,10.744,11.931,72.4,3.988,46.566,1.19,1.984,5.219,29.461,72.04,59.26,5.57,31,1.587,5.57,3.175,220.142,7.154,1.587,5.57,56,2.381,141.493,1.19,213.7,1.587,231.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33.225,39.358,64.76,105.234,6.349,2.381,17.465,5.556,3.571,37.717,1.587,2.381,39.336,23.443,7.55,1.984,13.895,9.136,11.911,25.821,7.154,28.979,13.895,8.333,4.365,10.325,9.532,38.543,7.143,31.372,8.343,60.747,10.325,2.381,8.739,48.042,2.381,35.734,7.55,16.289,10.325,7.946,1.984,48.913,4.762,46.115,5.966,11.535,31.786,2.381,1.587,35.065,1.587,18.718,12.327,125.4,1.984,1.19,15.126,52.958,1.587,53.783,1.984,91.2,3.571,23.928,4.762,106.888,1.984,121,14.308,74.372,15.557,124.237,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15.163,1.587,5.174,4.778,5.966,1.19,2.414,7.946,29.142,1.19,29.012,1.19,35.398,1.19,30.253,10.348,54.69,13.895,1.587,2.778,17.897,7.946,8.766,1.19,11.931,15.522,13.515,36.682,23.577,8.766,19.509,15.918,6.758,6.758,19.481,5.159,11.515,14.704,49.732,9.929,5.174,60.4,20.273,9.532,27.803,19.461,12.302,21.032,1.19,15.878,17.068,4.762,17.875,5.57,32.975,7.154,26.59,1.19,46.047,1.984,4.762,1.587,92.2,6.746,95.665,1.19,6.746,10.317,5.159,7.143,155.6,19.048,148.823,1.984,8.333,15.878,13.515,3.571,131.756,1.587,26.987,25,55.568,4.365,99.3,13.889,65.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33.418,11.964,9.161,2.778,12.359,6.758,43.436,12.723,5.57,11.535,33.814,28.615,8.739,1.587,16.289,7.154,12.723,3.571,16.686,17.137,22.675,9.952,22.675,3.593,6.758,8.739,36.218,19.088,46.908,4.778,77.5,1.19,72.18,11.964,106.928,1.19,172.8,20.335,68.944,5.966,35.427,34.274,25.05,1.587,13.912,6.758,1.984,1.984,53.353,13.515,19.481,28.615,11.139,7.55,30.993,6.758,28.2,28.2,25.013,12.327,9.136,18.271,3.571,15.952,2.381,1.19,11.931,9.136,83.941,12.723,104.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
