2067.944327,175.326316,4.048606,145.797059,3.176,100.4807,2.382,42.139168,7.065409,26.625599,1.985,13.503955,15.529449,9.93294,17.468,7.94,14.832714,18.266367,10.322,24.621543,5.558,67.12476,9.528,10.731307,11.603913,19.453,3.573,102.140954,11.936599,7.94,5.161,45.286981,9.209606,37.066699,6.749,19.065131,15.507217,205.744853,9.131,52.413131,3.573,148.97822,10.816662,49.367744,1.588,12.423321,23.433322,18.3017,36.621265,13.895,8.337,24.702928,47.31843,6.364307,12.315734,42.261444,9.139734,15.488161,21.065217,46.233429,8.166687,11.916749,10.350981,7.94,12.13629,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,
2717.216389,6.352,16.400467,3.97,31.517036,20.397463,11.916749,5.021653,16.858208,6.401625,53.212292,1.985,42.143138,1.985,36.695901,10.098489,28.989734,7.255175,70.34046,14.520672,49.747276,21.464599,11.926674,7.94,182.161465,2.779,7.553322,5.955,9.536337,7.178951,18.410875,9.15085,24.652906,10.336292,47.657071,10.322,5.161,2.382,58.892568,15.143962,3.176,5.955,13.101,33.410726,35.700225,4.157384,12.222042,4.367,73.082539,5.558,16.688292,21.063232,23.837865,3.573,31.384438,26.687928,109.208348,2.779,29.794453,19.124284,70.71761,7.964614,118.547773,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,
2996.821131,73.506932,28.600277,39.308955,7.543,85.059632,8.734,6.364307,8.346528,48.838543,41.465062,44.234534,4.764,26.228996,12.704,55.380309,7.94,11.116,1.985,18.689569,8.788786,12.710352,28.577648,8.734,19.341046,21.438,10.322,33.754528,18.266367,57.99773,14.706865,173.664474,7.94,18.69076,3.97,26.250037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930.04928,31.919991,3.573,6.364307,3.176,69.014083,1.985,107.645756,1.985,21.135486,17.071,4.367,5.590951,68.166488,5.161,5.572292,1.588,15.92764,2.382,8.7737,5.968101,13.512292,3.66034,24.770418,15.941535,4.764,13.944625,44.196819,23.871213,81.699027,15.086,29.158856,5.161,21.569804,21.481273,17.547797,13.908101,22.26376,7.636295,17.144842,4.780674,48.998931,30.218449,11.96955,21.569804,44.516801,5.955,6.749,15.58225,34.44372,9.139734,79.445258,1.588,36.206797,14.124863,21.590448,70.063354,12.364565,2.779,21.480082,17.151194,148.039315,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,
2891.501398,66.534421,10.003606,11.223587,1.985,35.851879,5.558,15.515554,8.734,5.572292,12.403074,4.367,6.352,40.131936,8.743131,77.146231,9.962715,5.161,2.382,99.587053,21.0013,17.55137,25.513205,14.697734,1.588,21.844925,25.488591,25.834378,19.141752,117.733526,25.085636,16.305187,39.050111,14.694558,4.764,7.9797,1.588,13.147449,13.947801,56.999275,13.946213,8.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3139.272274,55.684808,46.070262,12.365359,15.109026,29.077868,4.367,29.804378,4.367,5.161,75.050468,3.573,10.395048,236.499252,4.367,20.26685,21.172407,58.805625,14.714011,25.420704,5.161,24.632262,40.529333,18.267955,12.728614,35.733573,7.94,26.206764,27.007513,5.955,12.307,15.96734,3.97,5.161,1.985,30.653561,20.724988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028.300825,2.382,9.536734,8.743131,16.674,3.176,15.091161,9.93294,132.286752,13.521423,84.166382,2.807187,168.441542,1.588,25.421498,9.593902,13.503955,3.97,26.599,3.176,92.578018,4.764,25.817704,13.101,6.352,15.086,12.710352,9.131,81.074943,7.543,20.648764,16.678764,7.157116,6.352,41.696513,63.966625,4.367,77.440011,14.297558,42.945872,10.726543,140.249381,17.485865,17.865,38.51297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3372.629271,7.520768,13.581767,3.97,24.247966,3.573,67.810776,4.764,27.108351,9.131,3.97,34.205123,37.021838,1.985,4.764,17.536681,20.748411,1.588,7.543,22.632573,22.28361,32.816417,11.513,6.352,13.542067,33.83234,3.97,38.511779,14.292,28.198116,46.452176,21.155733,13.895,21.876685,37.396209,15.88,7.543,20.778186,112.57729,7.157116,5.161,18.322741,11.91,5.955,7.543,2.382,19.500243,4.764,49.309385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3154.434077,24.315853,18.663367,7.25716,17.475543,25.011,63.536277,3.176,19.067513,7.543,34.582273,28.994101,8.337,3.97,17.865,2.779,5.558,19.85397,13.106955,19.469277,18.266367,2.779,5.955,7.94,12.710352,37.337056,6.749,5.161,21.939411,4.764,9.131,1.985,21.869539,13.919614,16.32067,25.504074,70.835519,47.331531,25.466756,14.746168,9.935322,17.071,29.000056,25.889958,24.617176,46.11949,15.563988,5.955,5.558,27.405307,54.435052,5.558,8.881684,1.588,25.057846,31.073587,66.81113,9.528,6.352,5.955,32.16097,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,
