1,15.932801,2.382,866.024137,2.382,53.435406,2.382,1666.852537,4.847767,388.358898,6.654911,9.925,3.97,148.864678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.49618,3.176,37.539923,1.588,137.142062,2.382,142.957715,17.076558,59.69292,21.143029,72.168248,3.023552,9.83369,1.985,7.146,3.573,91.09959,2.779,39.354213,2.382,6.279349,14.292,273.121708,9.131,10.608237,2.779,53.038803,2.779,43.356767,4.367,55.678456,8.734,90.234924,12.704,194.533573,5.614374,45.82571,5.529813,33.767629,23.398386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40.714335,9.560951,99.227371,3.176,658.27364,1.985,71.904243,3.573,44.905861,10.849613,79.594133,5.161,99.169806,27.679237,12.339951,1.985,68.524185,2.382,12.417763,5.558,89.93638,1.985,42.481382,4.764,13.749698,2.382,38.716631,9.528,17.34096,12.894957,12.332408,3.97,25.018543,15.884764,29.060003,4.764,204.318035,8.337,71.88082,3.97,4.367,12.704,45.300479,20.749999,61.551674,4.367,17.865,2.382,26.643464,1.985,125.145913,10.322,158.117954,7.94,26.622423,3.176,41.755666,13.101,42.083985,1.985,5.78032,4.367,71.023697,4.367,44.076131,15.889925,28.252902,18.795171,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,
110.560265,96.469412,2.382,33.881171,20.247,120.035729,3.573,64.257626,16.277,64.42913,3.176,32.554,9.131,107.357137,10.719,38.274373,2.382,25.43976,1.191,22.264157,1.985,75.579272,10.322,49.397122,7.94,137.990451,9.925,16.277,32.356294,54.887632,6.352,92.545067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763.030559,27.443022,4.829902,7.157116,6.413535,8.421561,118.242877,22.288771,92.431525,3.573,21.888992,3.573,6.760513,10.860332,93.158432,12.775063,53.428657,1.985,12.700427,20.78692,11.144187,6.749,88.825574,3.176,29.50901,10.329543,55.239771,12.731393,93.571312,12.332408,27.848756,2.382,67.854843,11.936599,12.728614,14.292,10.750363,3.176,5.558,6.547324,40.310189,15.88,29.052857,18.286614,25.832393,4.367,29.406981,8.743131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071.408249,51.007751,6.749,5.955,10.322,111.747163,46.449,68.988278,5.955,127.583493,7.543,2.382,8.734,83.071853,12.307,11.91,20.309329,6.749,12.029894,5.955,12.75958,4.367,23.881535,1.191,30.222022,9.925,135.332139,6.749,17.468,78.952978,5.558,17.071,13.125217,3.573,19.870644,1.588,12.307,3.573,49.352261,5.955,9.528,1.191,11.91,69.995467,43.849841,9.528,36.643497,11.513,35.810194,4.764,33.771599,11.116,25.809367,1.191,5.558,31.76,21.893756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555.332863,64.949597,6.276967,16.964604,19.465307,13.315777,6.004625,40.95452,38.390694,21.100947,9.821383,10.443482,8.097212,23.436498,24.291636,10.306914,7.146,7.584685,15.308717,12.466197,10.836115,81.615657,8.097212,9.344189,14.564342,89.648555,4.910493,32.080776,5.221741,25.560845,8.097212,26.008661,42.463914,7.636295,6.749,4.764,40.888221,22.897372,4.764,35.196035,38.377593,2.382,5.558,1.985,9.925,28.322774,24.725954,10.597518,17.938842,6.352,5.558,16.792306,58.027505,6.749,49.588476,29.626919,15.564385,9.602239,16.121376,11.17952,5.161,27.906321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23.423,10.784902,9.528,4.764,20.303374,15.483,18.385864,8.337,89.742247,5.614374,3.573,8.877317,11.513,11.541187,9.131,30.023125,27.058726,26.108705,21.733765,4.764,39.421306,8.184552,10.051246,10.784902,1.588,14.253491,4.764,5.684246,3.176,15.618377,89.743041,6.401625,30.825859,15.609643,237.869696,11.682916,8.877317,20.436766,25.79309,35.974155,48.383184,18.927372,38.447068,56.069104,16.003864,39.939391,77.288357,34.336133,42.528228,32.795376,21.221238,31.171646,25.956654,19.992523,24.333718,25.26508,92.85036,17.629579,5.623902,65.75511,18.078983,7.146,40.877105,9.267965,105.131158,43.154297,10.719,12.409029,11.183887,15.616392,6.795449,15.272987,33.391273,13.521423,10.850804,11.574535,33.473849,13.125217,10.432763,76.377639,13.498,118.070579,21.124767,15.086,9.131,18.262,46.9651,27.807468,1.588,23.479374,48.134265
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G
