2801.897805,291.310263,8.346528,380.351011,4.384865,369.028968,2.779,43.391703,3.97,492.600776,5.572292,53.609689,1.588,81.470355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2654.700924,72.346501,2.779,600.853545,4.47816,10.322,41.055358,408.937393,5.955,60.43531,4.526594,9.925,1.985,233.328016,2.779,36.670493,1.985,417.931031,13.252257,9.536337,7.94,220.43028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3161.094274,108.441344,8.374715,54.510482,1.588,153.814474,3.573,77.683372,2.382,56.400599,3.97,152.378525,8.133339,163.07966,2.382,39.771063,2.382,22.776287,1.985,49.773478,3.97,6.352,3.573,10.727337,2.779,54.044801,3.176,9.536337,1.985,163.572337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1844.551279,41.06965,5.021653,239.926553,5.955,196.810765,3.573,31.007288,3.97,26.628775,6.749,30.621801,5.161,178.067204,3.97,6.352,29.15171,12.314543,15.924464,182.528293,8.770127,307.499526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3811.387817,15.483,7.157116,26.61091,11.519749,139.80752,5.558,21.047749,9.996063,32.701287,6.749,51.108589,5.558,176.915904,13.498,21.89852,7.949925,74.850777,5.161,66.79922,5.955,19.914314,4.384865,62.517972,3.98985,4.764,6.749,19.453,4.367,57.615419,5.968101,54.432273,5.161,102.967111,5.955,33.836707,11.17952,3.176,6.749,13.945816,4.048606,131.85958,5.161,17.935269,7.553322,45.691921,6.749,72.126563,5.399597,15.212643,5.572292,83.929373,5.558,147.912672,2.779,74.042088,4.384865,46.554602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839.634037,3.573,4.951384,10.424426,3.176,56.859134,2.779,16.722037,2.382,9.181419,7.94,265.880428,16.354415,244.110933,3.573,82.624831,8.337,67.540816,3.573,42.932771,1.588,59.178011,11.91,17.492217,2.779,44.471146,1.588,45.74234,5.558,52.160639,3.97,46.863865,2.382,22.424148,12.704,12.307,2.779,61.573112,2.779,170.859272,5.206655,70.337681,8.421561,35.61487,6.789097,31.213331,6.789097,3.595629,1.985,61.793844,3.176,63.944393,10.719,14.297558,6.749,31.862029,6.832767,30.976322,4.367,13.101,11.574535,12.351067,3.98985,11.513,1.985,3.176,1.588,7.543,7.146,10.322,1.588,4.764,8.734,8.374715,9.925,21.835,7.94,26.998779,3.97,4.764,3.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945.734272,12.87471,4.367,34.913768,38.611029,8.82928,8.421561,2.382,9.925,3.97,14.789441,27.820569,4.367,6.795449,44.157516,3.66034,6.364307,6.072909,91.507309,28.68325,5.221741,24.310295,4.780674,20.242633,9.528,28.193352,58.490804,2.382,11.574535,4.367,3.573,5.955,28.663003,14.297558,58.873909,1.985,66.267637,4.367,5.161,3.176,9.131,4.367,7.543,21.967598,5.161,3.176,5.558,1.985,9.131,16.351239,82.609348,8.814988,36.998018,20.705138,7.553322,19.093318,84.622138,9.536337,47.324782,8.374715,118.606529,3.573,6.462763,29.842887,7.543,1.588,20.062395,3.573,4.764,5.955,65.630452,7.157116,65.715013,17.190894,6.749,12.33479,184.481136,1.985,196.605913,1.985,21.925119,1.985,18.728078,5.161,65.70747,1.985,118.951919,3.573,166.14053,1.985,68.754048,3.200614,44.899112,6.401625,48.890947,3.594835,129.635189,11.959625,18.659,2.382,39.734142,1.588,9.131,27.567283,134.989131,12.808411,25.420307,3.023552,8.337,1.588,6.352,44.832416,6.749,20.262483,3.97,15.107041,6.749,31.385629,9.95676,8.337,27.046022,7.949925,4.764,8.337,27.054359,7.157116,5.955,5.161,7.94,20.686479,29.00085,1.588,17.882468,1.588,9.131,30.989423,15.489749,3.573,30.210112,3.176,47.37004,7.94,59.599228,1.985,12.802853,25.061419,6.364307,3.573,19.05997,6.352,9.165539,3.176,65.964329,1.588,9.93294,10.726543,25.032438,2.511025,13.125217,2.779,5.572292,5.955,6.760513,31.42652,7.157116,10.748378,6.760513,5.558,6.011374,5.176086,73.136134,6.364307,95.127949,14.710438,7.94,1.588,5.558,15.89985,21.056086,1.588,71.967763
