2688.395468,818.608045,5.955,249.641143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327.452225,61.628692,1.588,596.230083,3.97,15.88,3.176,19.469277,5.955,36.624838,2.779,47.289846,11.116,87.390816,7.146,28.187,3.97,10.401797,1.985,36.562112,3.97,194.372788,4.367,17.468,3.573,8.337,7.730384,133.541272,5.955,51.24476,6.352,7.146,2.779,105.229614,4.764,15.338095,3.573,42.551651,4.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2123.723,279.13467,3.176,815.954894,20.644,3.97,13.576606,6.352,71.168205,4.445606,14.292,7.146,1.985,4.367,24.217,110.883291,2.779,44.882041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352.022952,157.992105,1.985,69.381705,3.200614,32.401155,13.101,24.818058,1.588,21.867951,9.528,268.393835,3.97,47.292625,14.689,15.086,9.528,46.100434,7.310358,21.100947,6.352,56.470868,8.337,3.97,31.403097,11.540393,18.332269,24.246378,11.513,12.339157,8.337,13.154992,9.131,4.764,10.719,8.734,6.352,24.230101,11.936599,30.695246,15.483,6.749,20.247,9.528,13.218909,5.161,16.277,17.071,3.573,75.527662,32.1967,47.275951,4.764,7.543,11.116,14.342816,12.704,7.94,6.749,10.322,,,,,,,,,,,,,,,,,
A,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,,,,,,,,,,,,,,,,,
1585.452932,13.945816,15.929625,48.762716,3.594835,16.422302,5.615565,82.587513,10.784902,46.050015,30.171603,22.405092,3.594835,26.05114,4.829902,57.886173,51.24873,82.04799,18.672498,20.347441,45.26594,7.9797,24.398826,4.780674,36.130573,4.048606,15.730331,26.108705,70.230888,110.830887,13.004529,9.659407,83.902377,76.831013,41.444021,48.925883,7.244456,27.874958,16.057459,27.231421,13.590898,9.560951,23.437689,41.949005,5.614374,15.609643,5.684246,3.273662,3.594835,54.812996,24.775579,35.487433,21.623002,13.550404,17.238137,20.705138,17.974969,15.9594,19.91352,21.134295,21.472142,4.367,11.123146,1.985,28.043286,32.286422,53.516791,4.43846,17.112685,22.26376,17.508494,13.503955,23.849775,61.64219,40.10097,5.161,404.45963
A,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N,G,N
760.074449,11.540393,11.96955,11.181902,9.556187,8.337,11.513,8.734,37.535159,6.352,14.292,10.795621,9.505768,13.503955,1.985,11.986621,14.380134,9.131,45.529548,6.853411,15.615201,7.553322,1.985,6.760513,15.488161,5.955,13.101,4.764,38.198546,7.636295,4.764,4.764,18.820976,4.764,134.525435,5.558,16.277,4.367,64.41722,5.861705,8.337,6.352,51.06214,5.558,54.491029,8.337,10.719,6.352,85.516976,4.764,8.337,6.352,12.094208,4.764,15.504835,4.764,52.109029,5.161,42.638991,7.636295,3.97,6.795449,18.729269,5.572292,85.392318,4.367,191.359558,14.559578,2.89016,3.573,21.589257,3.97,8.734,5.558,,,
